PaperVersionReview_ID,PaperVersion_ID,Reviewer_ID,ReviewResult_ID,Review_Comments,Review_Comments_File_Path,Date_Sent_For_Review,Date_Of_Receipt
3608,3006,1,2,test,,,2015-05-28
3609,3008,1,2,test,,,2015-05-28
3610,3011,1,2,test,,,2015-05-28
3611,3012,1,2,test,,,2015-05-28
3612,3010,1,2,test,,,2015-05-28
3613,3009,1,2,test,,,2015-05-28
3614,25,1,2,not elaborate,,,2015-05-29
3615,3014,1,2,test,,,2015-06-04
3616,3016,1,2,test,,,2015-06-04
3617,3013,1,2,test,,,2015-06-04
3618,3018,1,2,test,,,2015-06-04
3619,3017,1,2,test,,,2015-06-04
3620,3012,1,5,Paper is plagiarized,,,2015-06-09
3621,3021,1,4,,,,2015-06-09
3622,3020,1,2,test,,,2015-06-09
3623,3019,1,2,test,,,2015-06-09
3624,3026,1,3,rev ir,,,2015-06-09
3625,3027,1,3,rev,,,2015-06-09
3626,3028,1,3,req req,,,2015-06-09
3627,3029,1,7,maj dr,,,2015-06-09
3628,3029,1,7,maj dr,,,2015-06-09
3629,3029,1,7,maj dr,,,2015-06-09
3630,3029,1,7,maj dr,,,2015-06-09
3631,3029,1,7,maj dr,,,2015-06-09
3632,3029,1,7,maj dr,,,2015-06-09
3633,3029,1,7,maj dr,,,2015-06-09
3634,3029,1,7,maj dr,,,2015-06-09
3635,3029,1,7,maj dr,,,2015-06-09
3636,3031,1,4,,,,2015-06-09
3637,3031,1,2,Plagiarized,,,2015-06-09
3638,3033,1,2,Highly Plagiarized,,,2015-06-17
3639,3021,1,2,Plagiarized,,,2015-06-28
3640,3035,1,2,Plagiarised,,,2015-07-10
3641,3036,1,2,Plagiarised,,,2015-07-10
3642,3030,1,2,Test Paper,,,2015-07-10
3643,3022,1,8,"Congratulations, your revised manuscript has been accepted for publication in next issue of BIJIT. You are requested to kindly email us the final CRC copy which should contain the following:
i. As per journals's policy, each manuscript published in the journal should contain atleast five references from previous BIJIT issues. All previous BIJIT issues can be referred from http://bvicam.ac.in/bijit/Archive.asp.
ii. All references included in the manuscript should be cited in the text.
iii. Figures and equations should not be scanned and should drawn using appropriate tools like Microsoft Equation Editor.
Please prepare the final CRC copy of the manuscript as per guidelines above and mail us the same with the signed copyright transfer form (http://bvicam.ac.in/bijit/Download.asp) latest within 10 days.
",,,2015-07-13
3644,3037,1,2,Highly plagiarized,,,2015-07-15
3645,3041,1,2,Highly Plagiarized,,,2015-07-16
3646,3040,1,2,Highly Plagiarized,,,2015-07-16
3647,3039,1,2,Highly Plagiarized,,,2015-07-16
3649,3004,1,3,"your manuscript cannot be opened due to problem with the contents, kindly upload the revised copy of your manuscript.",,,2015-07-16
3650,3004,1,3,"your manuscript cannot be opened due to problem with the contents, kindly upload the revised copy of your manuscript.",,,2015-07-16
3653,3035,1,2,test transaction,ReviewRemarks_3653.pdf,,2015-07-16
3654,3044,1,2,Highly plagiarized,,,2015-07-16
3655,3043,1,2,Highly plagiarized,,,2015-07-16
3656,3025,1,2,It is a Test Paper,,,2015-07-17
3657,3023,1,2,It is a test paper,,,2015-07-17
3658,3024,1,2,It is a Test Paper,,,2015-07-17
3659,3051,1,2,Highly Plaiarized,,,2015-07-18
3660,3050,1,2,Highly Plagiarized,,,2015-07-18
3661,3049,1,2,Highly Plagiarized,,,2015-07-18
3662,3052,1,2,Highly Plagiarized,,,2015-07-19
3663,3053,1,2,Highly Plagiarized,,,2015-07-19
3664,3054,1,2,Highly Plagiarized,,,2015-07-19
3665,3055,1,2,Highly Plagiarized,,,2015-07-20
3666,3032,1,3,"Initial Review of your manuscript is complete. Certain sections of your manuscript were found to be plagiarised. As per INDIACom 16 plagiarism policy, any manuscript considered for publication should not contain more than 20% plagiarism in total and not more than 5% similarity from a single source.
Kindly revise your manuscript with appropriate references and citations and resubmit the same. Please find attached the review 
compliance report for your reference.
Author is also advised to consider and incorporate the following comments of the review board while revising their manuscript:
i. Paper should be as per the paper template available at 
http://www.bvicam.ac.in/indiacom/Downloads/",ReviewRemarks_3666.pdf,,2015-07-21
3667,3047,1,3,"Initial Review of your manuscript is complete. Certain sections of your manuscript were found to be plagiarised. As per INDIACom 16 plagiarism policy, any manuscript considered for publication should not contain more than 20% plagiarism in total and not more than 5% similarity from a single source.
Kindly revise your manuscript with appropriate references and citations and resubmit the same. Please find attached the review 
compliance report for your reference.
Author is also advised to consider and incorporate the following comments of the review board while revising their manuscript:
i. Paper should be as per the paper template available at 
http://www.bvicam.ac.in/indiacom/Downloads/",ReviewRemarks_3667.pdf,,2015-07-21
3668,3013,1,2,test three,,,2015-07-21
3669,3013,1,2,test four,,,2015-07-21
3670,3013,1,2,test five,,,2015-07-21
3671,3058,1,2,Highly Plagiarised,,,2015-07-24
3672,3061,1,2,Highly plagiarized,,,2015-07-25
3673,3060,1,2,Highly plagiarized,,,2015-07-25
3674,3059,1,3,"Initial Review of your manuscript is complete. Certain sections of your manuscript were found to be plagiarised. As per INDIACom 16 plagiarism policy, any manuscript considered for publication should not contain more than 20% plagiarism in total and not more than 5% similarity from a single source.
Kindly revise your manuscript with appropriate references and citations and resubmit the same. Please find attached the review compliance report for your reference.
Author is also advised to consider and incorporate the following comments of the review board while revising their manuscript:
i. Paper should be as per the paper template available at http://www.bvicam.ac.in/indiacom/Downloads/
",ReviewRemarks_3674.pdf,,2015-07-27
3675,3057,1,3,"Initial Review of your manuscript is complete. Certain sections of your manuscript were found to be plagiarised. As per INDIACom16 plagiarism policy, any manuscript considered for publication should not contain more than 20% plagiarism in total and not more than 5% similarity from a single source.
Kindly revise your manuscript with appropriate references and citations and resubmit the same. Please find attached the review 
compliance report for your reference.
Author is also advised to consider and incorporate the following
 comments of the review board while revising their manuscript:
i. Paper should be as per the paper template available at 
http://www.bvicam.ac.in/indiacom/Downloads/
",ReviewRemarks_3675.pdf,,2015-07-27
3676,3056,1,3,"Initial Review of your manuscript is complete. Certain sections of your manuscript were found to be plagiarised. As per INDIACom16 plagiarism policy, any manuscript considered for publication should not contain more than 20% plagiarism in total and not more than 5% similarity from a single source.
Kindly revise your manuscript with appropriate references and citations and resubmit the same. Please find attached the review 
compliance report for your reference.
Author is also advised to consider and incorporate the following
 comments of the review board while revising their manuscript:
i. Paper should be as per the paper template available at 
http://www.bvicam.ac.in/indiacom/Downloads/
",ReviewRemarks_3676.pdf,,2015-07-27
3677,3062,1,3,"Initial Review of your revised manuscript is complete.Kindly note, certain sections of your manuscript were found to be plagiarised. As per INDIACom16 plagiarism policy, any manuscript considered for publication should not contain more than 20% plagiarism in total and not more than 5% similarity from a single source.Your revised manuscript contains 12% plagiarism in total, but 7% plagiarism from a single source that is not acceptable.
Kindly revise your manuscript with appropriate references and citations and resubmit the same. Please find attached the review 
compliance report for your reference.
Author is also advised to consider and incorporate the followingcomments of the review board while revising their manuscript:
i. Paper should be as per the paper template available at 
http://www.bvicam.ac.in/indiacom/Downloads/
",ReviewRemarks_3677.pdf,,2015-07-27
3678,3064,1,2,Highly Plagiaarized,,,2015-07-28
3679,3065,1,2,Highly Plagiaarized,,,2015-07-28
3680,3067,1,2,Highly Plagiarized,,,2015-07-29
3681,3066,1,2,Highly Plagiarized,,,2015-07-29
3682,3071,1,2,Highly Plagiarized,,,2015-07-31
3683,3070,1,2,Highly Plagiarized,,,2015-07-31
3684,3069,1,2,Highly Plagiarized,,,2015-07-31
3685,3068,1,2,Highly Plagiarized,,,2015-07-31
3686,3078,1,2,Highly plagiarized,,,2015-08-09
3687,3077,1,2,Highly plagiarized,,,2015-08-09
3688,3076,1,2,Highly plagiarized,,,2015-08-09
3689,3082,1,2,test,,,2015-08-12
3690,3082,1,3,test,,,2015-08-12
3691,3082,1,4,test,,,2015-08-12
3692,3082,1,5,test,,,2015-08-12
3693,3082,1,6,test,,,2015-08-12
3694,3082,1,7,test,,,2015-08-12
